Employee_ID,Employee_Name,Department,Claim_Type,Claim_Amount,Approved_Amount,Claim_Status,Claim_Date,Approval_Date,Payment_Status,Payment_Method,Vendor
1000,Priya Sharma,Finance,Medical,12179,11195,Approved,2023-02-14,2023-02-24,Unpaid,Bank Transfer,Max Healthcare
1001,Arjun Khanna,HR,Pharmacy,13171,0,Pending,2024-01-09,2024-01-11,Unpaid,Bank Transfer,Local Clinic
1002,Arjun Kapoor,Finance,Medical,5077,0,Pending,2024-03-31,2024-04-10,Unpaid,Payroll,Fortis
1003,Pooja Sharma,Sales,Medical,12298,0,Pending,2024-05-24,2024-05-28,Unpaid,Payroll,Apollo Hospital
1004,Sneha Khanna,Operations,Dental,11942,0,Pending,2023-05-26,2023-06-05,Unpaid,Bank Transfer,Apollo Hospital
1005,Ankit Sharma,HR,Pharmacy,15671,0,Pending,2023-02-09,2023-02-12,Paid,Bank Transfer,Local Clinic
1006,Rahul Khanna,Finance,Transport,4289,0,Rejected,2023-04-16,2023-04-23,Unpaid,Bank Transfer,Fortis
1007,Pooja Bansal,HR,Dental,15821,15352,Approved,2024-06-07,2024-06-14,Paid,Bank Transfer,Local Clinic
1008,Rahul Kapoor,IT,Dental,15471,0,Pending,2023-08-13,2023-08-21,Paid,Payroll,Max Healthcare
1009,Rohit Khanna,Marketing,Medical,5273,0,Pending,2023-08-28,2023-08-30,Paid,Payroll,Fortis
1010,Rahul Bansal,Marketing,Pharmacy,6840,0,Pending,2024-04-26,2024-05-02,Paid,Bank Transfer,Apollo Hospital
1011,Rahul Malhotra,Operations,Wellness,11629,11395,Approved,2023-08-28,2023-08-31,Paid,Bank Transfer,Wellness Center
1012,Ankit Malhotra,HR,Medical,4588,4074,Approved,2024-02-19,2024-02-27,Unpaid,Payroll,Apollo Hospital
1013,Ankit Gupta,Operations,Wellness,16689,16389,Approved,2023-10-09,2023-10-18,Paid,Bank Transfer,Local Clinic
1014,Pooja Bansal,Sales,Medical,9374,0,Rejected,2023-08-14,2023-08-23,Unpaid,Payroll,Apollo Hospital
1015,Ankit Mehta,IT,Transport,12290,0,Pending,2024-06-30,2024-07-04,Unpaid,Payroll,Fortis
1016,Arjun Bansal,HR,Transport,8639,0,Rejected,2023-12-28,2024-01-06,Paid,Bank Transfer,Local Clinic
1017,Pooja Sharma,Finance,Transport,5391,4878,Approved,2024-07-14,2024-07-23,Unpaid,Bank Transfer,Max Healthcare
1018,Pooja Mehta,HR,Transport,17947,0,Rejected,2023-12-22,2023-12-29,Paid,Payroll,Max Healthcare
1019,Arjun Verma,Marketing,Dental,16959,16547,Approved,2023-05-05,2023-05-10,Unpaid,Bank Transfer,Max Healthcare
1020,Priya Gupta,HR,Dental,3422,0,Rejected,2023-07-27,2023-07-30,Paid,Bank Transfer,Fortis
1021,Arjun Bansal,Sales,Wellness,8368,0,Rejected,2024-07-18,2024-07-21,Paid,Payroll,Apollo Hospital
1022,Priya Agarwal,Marketing,Wellness,8048,7485,Approved,2024-02-11,2024-02-14,Paid,Payroll,Local Clinic
1023,Karan Agarwal,Sales,Wellness,4467,0,Pending,2024-03-20,2024-03-26,Paid,Payroll,Max Healthcare
1024,Amit Agarwal,Finance,Wellness,11309,0,Pending,2023-11-04,2023-11-12,Unpaid,Bank Transfer,Fortis
1025,Amit Mehta,IT,Transport,3482,2711,Approved,2023-11-27,2023-12-06,Paid,Bank Transfer,Apollo Hospital
1026,Arjun Khanna,Sales,Medical,14902,0,Rejected,2024-03-15,2024-03-19,Paid,Payroll,Max Healthcare
1027,Arjun Agarwal,HR,Pharmacy,7893,0,Pending,2023-05-22,2023-05-24,Unpaid,Bank Transfer,Apollo Hospital
1028,Neha Bansal,Finance,Transport,1469,1370,Approved,2023-08-18,2023-08-22,Paid,Bank Transfer,Max Healthcare
1029,Sneha Bansal,Finance,Wellness,19575,0,Pending,2023-08-08,2023-08-18,Unpaid,Payroll,Max Healthcare
1030,Priya Verma,Marketing,Pharmacy,17127,0,Pending,2023-02-25,2023-03-06,Unpaid,Payroll,Apollo Hospital
1031,Rohit Malhotra,Finance,Pharmacy,5896,0,Rejected,2023-12-16,2023-12-19,Unpaid,Payroll,Wellness Center
1032,Arjun Jain,Operations,Dental,834,0,Rejected,2023-03-31,2023-04-02,Paid,Payroll,Wellness Center
1033,Karan Gupta,Operations,Transport,19502,0,Pending,2024-06-26,2024-06-29,Paid,Bank Transfer,Apollo Hospital
1034,Neha Mehta,IT,Transport,2490,0,Rejected,2024-03-02,2024-03-12,Unpaid,Payroll,Max Healthcare
1035,Arjun Agarwal,IT,Wellness,12974,12821,Approved,2023-09-29,2023-10-05,Paid,Bank Transfer,Fortis
1036,Arjun Sharma,Sales,Pharmacy,17856,0,Pending,2024-07-17,2024-07-25,Paid,Bank Transfer,Wellness Center
1037,Neha Gupta,Finance,Transport,3876,0,Rejected,2024-05-30,2024-06-03,Unpaid,Payroll,Max Healthcare
1038,Karan Gupta,Marketing,Pharmacy,12279,0,Rejected,2024-05-05,2024-05-10,Paid,Bank Transfer,Max Healthcare
1039,Neha Malhotra,Marketing,Medical,7105,0,Pending,2023-07-24,2023-07-25,Paid,Payroll,Fortis
1040,Amit Sharma,Operations,Pharmacy,10047,0,Pending,2024-03-22,2024-03-31,Unpaid,Bank Transfer,Apollo Hospital
1041,Neha Kapoor,Finance,Dental,4488,0,Rejected,2024-03-09,2024-03-13,Unpaid,Bank Transfer,Apollo Hospital
1042,Ankit Kapoor,IT,Dental,16717,0,Rejected,2024-05-13,2024-05-22,Paid,Payroll,Apollo Hospital
1043,Karan Mehta,Finance,Dental,8917,0,Pending,2023-11-01,2023-11-08,Paid,Payroll,Local Clinic
1044,Karan Bansal,Sales,Dental,6895,0,Pending,2024-02-27,2024-02-28,Unpaid,Bank Transfer,Apollo Hospital
1045,Pooja Gupta,Marketing,Transport,4063,3315,Approved,2024-01-25,2024-02-02,Unpaid,Payroll,Local Clinic
1046,Rohit Kapoor,Finance,Medical,951,0,Pending,2023-10-18,2023-10-28,Paid,Bank Transfer,Max Healthcare
1047,Pooja Kapoor,Operations,Pharmacy,584,-76,Approved,2024-07-11,2024-07-13,Unpaid,Payroll,Wellness Center
1048,Sneha Bansal,Operations,Dental,13435,0,Pending,2024-03-27,2024-04-05,Unpaid,Bank Transfer,Fortis
1049,Rahul Agarwal,Sales,Transport,10517,0,Rejected,2023-11-06,2023-11-08,Paid,Payroll,Local Clinic
1050,Sneha Jain,IT,Wellness,9137,0,Pending,2023-10-02,2023-10-06,Paid,Bank Transfer,Fortis
1051,Amit Jain,Marketing,Wellness,8715,0,Pending,2023-10-29,2023-11-03,Paid,Payroll,Fortis
1052,Sneha Sharma,HR,Medical,18159,17909,Approved,2024-05-11,2024-05-20,Unpaid,Payroll,Apollo Hospital
1053,Sneha Bansal,Finance,Dental,17457,0,Pending,2023-03-18,2023-03-19,Paid,Bank Transfer,Fortis
1054,Neha Agarwal,HR,Wellness,4054,3282,Approved,2023-07-04,2023-07-07,Paid,Payroll,Max Healthcare
1055,Rohit Mehta,IT,Dental,10706,0,Pending,2023-04-09,2023-04-18,Unpaid,Payroll,Fortis
1056,Neha Malhotra,Marketing,Pharmacy,17199,0,Pending,2024-03-15,2024-03-24,Paid,Bank Transfer,Apollo Hospital
1057,Neha Mehta,Sales,Dental,7772,0,Pending,2023-07-14,2023-07-19,Paid,Payroll,Fortis
1058,Karan Gupta,Marketing,Transport,18945,18388,Approved,2023-05-26,2023-06-04,Unpaid,Payroll,Max Healthcare
1059,Neha Khanna,Operations,Pharmacy,4292,0,Rejected,2023-04-07,2023-04-12,Paid,Bank Transfer,Apollo Hospital
1060,Neha Kapoor,IT,Medical,2327,0,Pending,2024-06-04,2024-06-13,Paid,Payroll,Wellness Center
1061,Karan Verma,Finance,Medical,10135,0,Pending,2024-01-14,2024-01-22,Unpaid,Payroll,Apollo Hospital
1062,Rahul Malhotra,IT,Medical,4753,4053,Approved,2023-12-14,2023-12-24,Paid,Bank Transfer,Local Clinic
1063,Amit Kapoor,Sales,Wellness,1958,0,Rejected,2023-09-10,2023-09-18,Paid,Payroll,Wellness Center
1064,Sneha Gupta,IT,Wellness,4021,3123,Approved,2024-07-22,2024-07-25,Unpaid,Payroll,Wellness Center
